               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029463,            0.011031,            0.021551,              0.6889,             0.60061,             0.59499,             0.42878,            0.034365,           0.0044515,            0.024718,            0.008812,            0.008812,            0.008812
                  38,            0.028152,            0.010678,            0.020057,             0.75634,             0.49542,             0.56477,             0.42885,            0.033122,           0.0042333,            0.023908,            0.008779,            0.008779,            0.008779
                  39,            0.028689,            0.010294,             0.02225,             0.82368,             0.55734,             0.62385,             0.50257,            0.031957,           0.0044613,             0.02167,            0.008746,            0.008746,            0.008746
                  40,            0.028682,            0.010884,            0.020538,             0.74353,             0.59583,             0.59695,              0.4676,            0.032381,           0.0040085,            0.020873,            0.008713,            0.008713,            0.008713
                  41,            0.027142,           0.0099755,            0.021257,              0.7493,             0.63869,             0.60862,             0.48214,            0.031903,           0.0039339,             0.02206,             0.00868,             0.00868,             0.00868
                  42,            0.026899,           0.0096565,            0.020743,             0.81027,              0.5737,             0.63531,             0.51347,            0.030155,           0.0043995,            0.021747,            0.008647,            0.008647,            0.008647
                  43,            0.027521,            0.010026,             0.02112,             0.79912,             0.56324,             0.61878,             0.47268,            0.031477,           0.0042225,            0.019976,            0.008614,            0.008614,            0.008614
                  44,            0.027891,            0.010351,            0.019326,              0.8269,             0.48617,             0.61012,             0.50624,            0.029484,           0.0043655,            0.021579,            0.008581,            0.008581,            0.008581
                  45,            0.031613,           0.0099991,            0.020504,             0.78963,             0.60423,             0.62912,             0.52811,            0.030962,           0.0044139,             0.02057,            0.008548,            0.008548,            0.008548
                  46,            0.030442,           0.0096397,            0.021136,             0.75371,             0.53672,             0.59058,             0.46137,            0.032796,           0.0047801,            0.026361,            0.008515,            0.008515,            0.008515
                  47,            0.027091,            0.010066,             0.01853,             0.77827,             0.52849,             0.58841,             0.47581,             0.03102,           0.0049592,            0.024412,            0.008482,            0.008482,            0.008482
